"序号","试题内容","正确选项","A","B","C","D",""
"517","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 为践行以人民为中心理念，推进铁路客运服务高质量发展，（   ），","ABCD","提升铁路公共服务水平","营造人文关怀氛围","完善旅客运输服务体系","提升重点旅客服务能力和出行体验",""
"518","《铁路重点旅客服务管理办法》（铁客（2024）73号）根据(   )、《中华人民共和国残疾人保障法》《中华人民共和国无障碍环境建设法》等法律法规和《铁路旅客运输规程》《铁路旅客运输服务质量规范》等规定，结合铁路实际制定。","ABCD","《中华人民共和国铁路法》","《中华人民共和国老年人权益保障法》","《中华人民共和国未成年人保护法》","《中华人民共和国妇女权益保障法》",""
"519","《铁路重点旅客服务管理办法》（铁客（2024）73号）适用于中国国家铁路集团有限公司(以下简称国铁集团)及所属企业客运车站和旅客列车重点旅客服务管理工作。","A","对","错","","",""
"520","《铁路重点旅客服务管理办法》（铁客（2024）73号）所称 特殊重点旅客是指因年龄、行为、身体状况等原因，在旅行中依靠辅助器具才能行动等需特殊照顾的重点旅客。","A","对","错","","",""
"521","《铁路重点旅客服务管理办法》（铁客（2024）73号）所称重点旅客指老、幼、病、残、孕旅客。","A","对","错","","",""
"522","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 铁路重点旅客运输服务保障工作应（    ）实施行之有效的重点旅客服务措施，切实提升重点旅客铁路出行服务体验。","ABCD","充分发挥铁路网络布局和客运站车协同优势","充分利用信息技术手段","及时受理重点旅客服务需求，","使现场工作人员及时掌握重点旅客信息，",""
"523","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定  加强重点旅客出行服务工作，（   ）。","ABCD","是实施积极应对人口老龄化国家战略的必然要求","是保障妇女儿童合法权益","健全残疾人社会保障体系的重要内容","是衡量铁路客运服务质量的重要标志",""
"524","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定  在铁路售票、进站、候车、乘车、出站等环节，铁路运输企业应当给予重点旅客特别（   ）。","ABCD","关注","关心","关怀","关爱",""
"525","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定  重点旅客服务工作应当坚持“渠道畅通、（  ）”的原则。","ABCD","受理规范","服务到位","交接清楚","保障有力",""
"526","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定  客运站段负责 审核与受理线上线下渠道重点旅客提出的服务预约申请和现场申请，组织开展客运管理和服务人员业务技能培训，按照有关规定设置重点旅客服务场地，配备服务设备设施，为重点旅客提供服务。","A","对","错","","",""
"527","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 重点旅客可包括不超过（    ）     。","B","2名人员","2名随行陪同人员","3名人员","3名随行陪同人员",""
"528","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 重点旅客可享受（    ）等服务。","ABCD","优先安检","优先验证","优先检票","引导服务",""
"529","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 重点旅客可使用（   ），以及无障碍服务设施等服务。","ABCD","无障碍售票窗口","重点旅客候车室","母婴室(哺乳室)","无障碍卫生间(第三卫生间)",""
"530","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 特殊重点旅客申请成功后，由铁路客运站车安排服务人员提供便利进出站、（    ）、协助乘降，以及提供站内免费轮椅、担架(车)以及列车内随访关照等服务，为残疾人携带导盲犬提供便利。","ABCD","优先安检","优先验证","优先检票","引导帮扶",""
"531","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 设有重点旅客候车室、母婴室(哺乳室)等服务设施的车站，提供（    ）等服务。","A","专区候车","重点候车","特殊候车","候车",""
"532","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 优先安检服务过程应严格落实《铁路旅客运输安全检查管理规则》等关于特殊重点旅客安检实行重点服务、重点照顾的有关要求。","A","对","错","","",""
"533","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 特殊重点旅客服务细分为（    ） 、携带导盲犬旅客服务等。","ABCD","无陪伴年长旅客服务","无陪伴孕妇旅客服务","视觉/听觉障碍旅客服务","轮椅/担架(车)行动障碍旅客服务",""
"534","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 无陪伴年长旅客服务，一般指面向（    ）旅客所提供的服务。","ABCD","年龄超过65周岁","单独乘车且行动不便","需要进出站引导","需要途中随访关照",""
"535","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 无陪伴孕妇旅客服务，一般指面向（    ）旅客所提供的服务。","ABCD","怀孕超过36周(含)或预产期在4周(含)以内","单独乘车","需要进出站引导","需要途中随访关照",""
"536","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 视觉/听觉障碍旅客服务，指面向（    ）障碍旅客所提供的服务。","AB","视觉(双目有缺陷、失明)","听觉(双耳听力缺陷)","视觉(右眼有缺陷、失明)","单耳听觉(听力缺陷)",""
"537","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 轮椅/担架(车)行动障碍旅客服务，指面向因病因残导致行动不便且有服务需求旅客所提供的服务。","A","对","错","","",""
"538","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 携带导盲犬旅客服务，指面向（    ）进站乘车旅客所提供的服务。","ABCD","视觉障碍","需携带取得导盲犬工作证","辅助视力残疾人工作导盲犬","辅助视力残疾人生活导盲犬",""
"539","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 铁路客运车站应在主要（    ）设置12306预约旅客会合点(Meetingpoint)，位置应合理，方便特殊重点旅客落客乘降，便于寻找，并在醒目位置规范设置标志，公告12306服务台或综合服务中心服务电话。具备条件的车站可在12306预约旅客会合点设置可以与12306服务台或综合服务中心通话功能的呼叫器。","AB","进站口安检","验证设施前","站台中部","出站口",""
"540","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 铁路客运具备条件的车站可在12306预约旅客会合点设置可以与12306服务台或综合服务中心通话功能的呼叫器。","A","对","错","","",""
"541","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 重点旅客服务范围原则上限于客运车站进站口12306预约旅客会合点至出站口闸机以内的铁路旅客服务区域，包含客运车站（    ）。","ABCD","进出站通道","候车区域","客运站台","在途旅客列车服务区域内",""
"542","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 持有铁路有效车票且符合特殊重点旅客服务条件的旅客可以在乘车前规定时间内通过线上线下渠道向铁路部门提出特殊重点旅客服务申请。","A","对","错","","",""
"543","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 特殊重点旅客服务申请线上渠道包括铁路（    ）、12306客户服务热线；线下渠道包括铁路车站12306服务台、综合服务中心和旅客列车现场。","ABCD","12306网站","12306APP","铁路畅行码","中国铁路微信公众号",""
"544","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 无陪伴年长旅客、无陪伴孕妇旅客、视觉/听觉障碍旅客、轮椅/担架(车)行动障碍旅客、携带导盲犬旅客可通过铁路（    ）等线上渠道提出预约申请。","ABD","12306网站","12306APP","铁路畅行码","中国铁路微信公众号",""
"545","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 中国残联在册残疾人旅客(限视力、肢体残疾，且残疾等级为1级或2级)以及无陪伴年长旅客还可通过12306客户服务热线提出预约申请，但都应不晚于乘车站列车（    ）办理。","A","开车前６小时","开车后６小时","开车前６0分钟","开车后６0分钟",""
"546","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 距离开车前不足６小时的，应到乘车站（    ）现场提出申请。","AB","12306服务台","综合服务中心","12306网站","12306APP",""
"547","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 距离开车前不足６小时的，应到乘车站12306服务台、综合服务中心现场提出申请，办理时限原则上应不晚于乘车站列车（    ）。或在旅客列车上向客运乘务人员现场提出申请。","C","开车前６小时","开车后６小时","开车前６0分钟","开车后６0分钟",""
"548","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 通过铁路12306网站、12306APP、中国铁路微信公众号等线上渠道办理预约申请时，系统应要求特殊重点旅客准确填写其（    ）等信息，同时提交有效车票信息和相关有效证明材料。","ABCD","实际乘车站","目的地车站","列车车次","服务需求",""
"549","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 无陪伴年长旅客应提交个人真实身份信息。","A","对","错","","",""
"550","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 无陪伴孕妇旅客应提交《诊断证明书》，以及孕妇的连续病历或经医院盖章的孕妇保健手册。","A","对","错","","",""
"551","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 中国残联在册残疾人旅客(限视力、肢体残疾，且残疾等级为1级或2级)应提交残疾人证记载个人信息的内容页。","A","对","错","","",""
"552","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 其他视觉/听觉障碍旅客、轮椅/担架(车)行动障碍旅客的残疾人应提交乘车日前７日内医院医生签字并盖有公章的《诊断证明书》(或出院小结)等。","A","对","错","","",""
"553","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 携带导盲犬旅客在预约申请时应提交相关（    ）等材料。具体要求按照《关于印发‹视力残疾旅客携带导盲犬进站乘车若干规定(试行)›的通知》(铁总办运〔2015〕60号)执行。","ABC","残疾人证","服务犬工作证","动物健康免疫证明","购票信息",""
"554","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 现场申请的特殊重点旅客，办理时只需出示相关有效证明材料。","B","对","错","","",""
"555","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 遇旅客突发伤病导致行动不便或可直观判断旅客确属肢体残疾等特殊情况时，客运车站和旅客列车工作人员应按照特殊重点旅客服务要求适需开展服务，不再要求其提供相关证明材料。","A","对","错","","",""
"556","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 通过铁路12306网站、12306APP、中国铁路微信公众号提出旅客预约申请后，系统将旅客所填写的信息和提交的证明材料推送至乘车站进行审核与受理。","A","对","错","","",""
"557","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 通过12306客户服务热线受理的特殊重点旅客预约申请，客服中心应利用客服中心综合查询系统或客票系统进行核实。","A","对","错","","",""
"558","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定  对符合预约申请条件的，客服中心应准确了解特殊重点旅客需求并规范填写《工单》信息，并及时按流程将《工单》流转至（    ）。对不符合受理条件的，客服中心应及时告知申请人或乘车人无法受理其申请。","ABC","旅客乘车站","旅客列车","旅客目的地车站","旅客途径车站",""
"559","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定  旅客乘车站接到特殊重点旅客预约申请时，应（    ）。","ABC","对旅客线上提交的证明材料进行核实","确认该旅客是否符合预约申请条件","确认旅客身份信息与所购车票身份信息一致性","直接按重点旅客服务",""
"560","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定  对符合预约申请条件的，通过系统以微信、短信等形式将（    ）通知申请人。旅客预约服务信息应按其服务需求通过系统同步推送至相关客运乘务单位和旅客目的地车站。对不符合受理条件的，客运车站应通过系统及时告知申请人或乘车人，要求其补充有效证明材料，或告知因不符合受理条件无法受理。","ABCD","车站12306预约旅客会合点位置","特殊重点旅客到站时间","在乘车期间携带并出示相一致的有效证明材料","服务须知",""
"561","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定  旅客预约服务信息应按其服务需求通过系统同步推送至相关客运乘务单位和旅客目的地车站。","A","对","错","","",""
"562","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定  旅客预约服务对不符合受理条件的，客运车站应（    ）。","ABCD","通过系统及时告知申请人","通过系统及时告知乘车人","要求其补充有效证明材料","告知因不符合受理条件无法受理",""
"563","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 中国残联在册残疾人(限视力/听力、肢体残疾，且残疾等级为1级或2级)、无陪伴年长旅客的信息，由系统自动对旅客提交信息真实性和旅客年龄进行判定核实。","A","对","错","","",""
"564","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定  特殊重点旅客预约申请成功后，在客运站车乘车期间应按规定出示与线上提交信息相一致的相关有效证明材料，在乘车站列车（    ）到达车站12306预约旅客会合点。","C","开车前６小时","开车后６小时","开车前６0分钟","开车后６0分钟",""
"565","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 客运车站应根据列车开车日期、时间，提前按需做好人员安排和辅助器具准备工作，（    ）。","ABCD","可在所乘列车开车前2小时前与旅客确认","沟通确认特殊重点旅客预计到达时间","提醒特殊重点旅客携带相关有效证明材料","通告车站12306预约旅客会合点位置",""
"566","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 客运车站应安排客运人员在预订时间到达12306预约旅客会合点，在特殊重点旅客到达后提供适需服务，（    ）。","ABCD","安排特殊重点旅客至重点旅客候车室(区)或其他指定位置候车","提供优先检票","便利乘车等服务，","做好站车服务交接工作",""
"567","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 对因现场服务保障能力限制，无法满足旅客使用轮椅、担架(车)等辅助器具需求时，应征询特殊重点旅客意见后尽可能提供服务协助。","A","对","错","","",""
"568","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 对于旅客身份信息与车票身份信息不一致、不符合服务条件，或无法提供相关有效证明材料等情况的，客运车站在说明情况后，有权拒绝提供服务。","A","对","错","","",""
"569","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 客运车站安检处、验证处、12306服务台、综合服务中心遇特殊重点旅客提出现场申请时，车站工作人员应对特殊重点旅客出示的证明材料有效性、真实性进行审核，并核实旅客身份信息与车次信息。","A","对","错","","",""
"570","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 符合受理条件且车站现场具有服务保障能力的，运用信息系统做好信息和服务需求登记，尽可能安排旅客至重点旅客候车室(区)或其他指定位置候车，并适需提供轮椅、担架(车)等辅助器具，及时提供（    ）等服务。","ABCD","优先安检","优先验证","优先检票","便利乘车",""
"571","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 旅客列车接到系统流转的特殊重点旅客预约申请，或客服中心流转的《工单》后，应根据特殊重点旅客所在车厢、位置，提前做好人员安排和服务准备工作。","A","对","错","","",""
"572","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 对于客运车站交接的，或运行途中发现的符合服务条件的特殊重点旅客时，客运乘务人员应及时纳入“铁路畅行”爱心服务范围。","A","对","错","","",""
"573","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 旅客列车在有运输能力情况下，应尽可能为（    ），并协助做好旅客助残设备存放。","ABC","同席别不同车厢的陪伴人员安排临靠特殊重点旅客的座位","不相邻的陪伴人员安排临靠特殊重点旅客的座位","为不同席别的陪同人员、特殊重点旅客优先办理补票升席服务","特殊重点旅客微笑",""
"574","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 通过铁路畅行码受理出站服务申请时，或旅客现场提出服务需求时，对符合服务条件的，列车工作人员应核实特殊重点旅客身份信息与到站信息，及时使用客运站车无线交互终端通知到站。","A","对","错","","",""
"575","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 特殊重点旅客列车到达目的地车站前，目的地车站应根据服务需求，做好人员安排和辅助器具准备工作，并将特殊重点旅客送至合适的出站口。","A","对","错","","",""
"576","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 特殊重点旅客列车到达目的地车站前，目的地车站应根据服务需求，（    ）。客运车站、旅客列车要加强信息通报和服务交接，做到交接事项清楚，交接流程规范。","ABCD","做好人员安排","做好辅助器具准备工作","将特殊重点旅客送至合适的出站口","对持联程车票的特殊重点旅客应做好候车、检票等换乘服务",""
"577","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 条旅客通过规定渠道提交预约申请的，并不表示该服务已经申请成功，铁路部门将对证明材料和相关信息真实性进行核查，对不符合受理条件的，（    ）。因客运站车承运数量限额、服务保障能力不足等原因而不能满足重点旅客需求除外。","AB","铁路部门除有权拒绝提供服务外","还可以在一定期限内限制其服务申请","也可按重点旅客对待","不予乘车",""
"578","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 （    ），铁路部门有权拒绝提供服务，但应做好解释说明工作。","ABCD","不满足年龄条件，或不满足单独出行要求等不符合预约申请条件的；","持伪造、过期等无效证明材料或冒用他人有效证明材料的；","提供的证明材料不符合规定，或无法提供规定的有效证明材料的；","现场临时提出申请，铁路客运站车现场不具备服务保障能力的；",""
"579","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 （    ），铁路部门有权拒绝提供服务，但应做好解释说明工作。","ABCD","不满足年龄条件，或不满足单独出行要求等不符合预约申请条件的；","持伪造、过期等无效证明材料或冒用他人有效证明材料的；","明显超过约定时间到达车站，铁路客运站车现场不具备服务保障能力的；","提出的服务要求，明显超出铁路旅客运输服务范围和能力的。",""
"580","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 因列车停运或旅客自行办理退票，其所办理的特殊重点旅客预约申请随即自动取消，相关信息提示系统自动推送至客服中心和客运站车。","A","对","错","","",""
"581","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 当旅客乘坐的列车发生变动或自行办理改签，预约申请随即自动取消，特殊重点旅客需重新办理特殊重点旅客服务申请。","A","对","错","","",""
"582","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 旅客因自身原因，需要取消重点旅客服务预约申请时，应在乘车站列车（    ）通过线上渠道或12306客户服务热线渠道办理取消服务，也可在车站12306服务台或综合服务中心办理取消服务。","C","开车前6小时","开车后6小时","开车前2小时","开车后2小时",""
"583","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 对违反相关规定，（    ），旅客将在行为发生日180天内无法通过线上渠道办理相关服务的预约申请。","ABCD","不符合预约申请条件，但连续2次办理预约申请的；","在1年内办理重点旅客服务预约申请成功后，累计2次未如约到达车站的；","在30天内预约申请重点旅客服务后，因自身原因需要取消重点旅客服务预约申请的","在30天内预约申请重点旅客服务后，累计2次未在规定时间内办理取消的；",""
"584","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 对违反相关规定，（    ），旅客将在行为发生日180天内无法通过线上渠道办理相关服务的预约申请。","ABCD","不符合预约申请条件，但连续2次办理预约申请的；","在1年内办理重点旅客服务预约申请成功后，累计2次未如约到达车站的；","持伪造、过期等无效证明材料或冒用他人有效证明材料的；","在服务过程中，存在辱骂、殴打客运服务人员等不文明行为的。",""
"585","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 对违反办法中第二十七条相关规定的，旅客将在行为发生日（    ）无法通过线上渠道办理相关服务的预约申请。","C","90天内","120天内","180天内","一年内",""
"586","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 非无陪伴年长旅客、非无陪伴孕妇旅客，以及视觉/听觉障碍旅客、轮椅/担架(车)行动障碍旅客、携带导盲犬旅客，在客运站车现场经判断确有帮扶必要的，原则上（    ），随行陪同人员可随特殊重点旅客享受便利进出站、优先安检、专区候车、优先检票等服务，超出的人员应按照普通旅客旅行。","B","可有不超过1名随行陪同人员","可有不超过2名随行陪同人员","可有不超过3名随行陪同人员","可有不超过5名随行陪同人员",""
"587","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定大中型客运车站应设置重点旅客候车区、母婴室(哺乳室)、无障碍卫生间(第三卫生间)等设施，售票厅、服务台、综合服务中心设有无障碍服务窗口，进站口开设爱心(绿色)通道，楼层间设置无障碍电直梯、坡道或升降平台；其他车站应结合设施设备条件和所提供的服务内容，合理设置相关服务设施设备，在卫生间内设置无障碍服务功能厕位，在检票口附近设重点旅客专座，为重点旅客提供服务便利。","A","对","错","","",""
"588","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 客运车站保留使用现金、刷卡、证件等方式，优化售票窗口、服务台、综合服务中心等人工服务和志愿服务。","A","对","错","","",""
"589","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 客运车站服务台或适当位置按规定配置配备必要的无障碍设备和辅助器具，规范建立使用管理制度，加强日常检查和维保，确保作用良好，外观清洁。","A","对","错","","",""
"590","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 客运车站年日均旅客发送量５万人以上的，应配备轮椅不少于（    ）辆、担架(车)不少于（    ）辆。","A","4、2","3、1","2、1","1、1",""
"591","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 客运车站年日均旅客发送量2万人以上的，配备轮椅不少于（    ）辆，担架(车)不少于（    ）辆；","B","4、2","3、1","2、1","1、1",""
"592","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 客运车站年日均旅客发送量1万人以上的，配备轮椅不少于（    ）辆；其他车站配备轮椅不少于（    ）辆。","C","4、2","3、1","2、1","1、1",""
"593","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 铁路局集团公司要将重点旅客服务纳入客运服务岗位人员日常培训课程体系，组织指导客运站段定期开展无障碍服务方面的法律法规，重点旅客服务制度、意识、心理、话术及技巧，重点旅客及其行李物品、导盲犬安全检查，重点旅客服务程序、红十字救护，无障碍设施设备使用及操作方面的培训。","A","对","错","","",""
"594","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定  特殊重点旅客服务量较大的客运车站应设置重点旅客专职服务岗位，结合服务群体、服务内容特点，合理设定男女比例；其他车站应通过兼职并岗等形式做好重点旅客服务工作。","A","对","错","","",""
"595","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定   客服中心、客运站段要加强服务值守工作，确保服务电话及时接听，服务工单及时签收，服务信息准确交接。","A","对","错","","",""
"596","《铁路重点旅客服务管理办法》（铁客（2024）73号）规定 坚持重点旅客作为基本保障性服务的基础上，鼓励铁路局集团公司加强与属地社会组织沟通协调，通过市场化、社会化手段，优化完善、补充补强、延伸拓展客运站车重点旅客服务链条，适时研发开展门到门、门到站、站到门的综合旅行服务产品。","A","对","错","","",""
"597","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）适用于中华人民共和国境内铁路旅客运输过程中发生的旅客人身伤害及携带品损失处理。","A","对","错","","",""
"598","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 处理旅客人身伤害或携带品损失时，应当坚持（）的原则。","ABC","实事求是","依法依规","就近及时","安全第一",""
"599","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 　列车、车站发生旅客人身伤害时，站车工作人员（），报告列车长、站长组织救护，稳定人员情绪，维护现场秩序。","A","应当到场查看旅客伤害情况","应当立即组织救治","应当立即安排组织救治","只上报信息",""
"600","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 因旅客伤害需交车站处理时，应移交前方（）；需要提前报告运行所在铁路局客运调度时，由客运调度通知车站做好救护准备工作。","ABC","县所在地车站","市所在地车站","当地具备公共医疗条件的停车站","就近车站",""
"601","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 旅客不同意在前款规定的停车站下车处理时，应当由（）出具拒绝下车治疗的书面声明，并按照本办法第十一条规定收集两份及以上证人证言。","A","旅客","车站","列车","列车长",""
"602","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 列车因旅客伤害严重需紧急停车处理或发生3人以上疑似食物中毒的，应立即报告运行所在铁路局客运调度。","A","对","错","","",""
"603","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 列车因旅客伤害严重需紧急停车处理或发生3人以上疑似食物中毒的，接到报告后，客运调度应当立即根据列车长提出的要求，通知有关车站及值班主任（列车调度员），需要停车处理的停车处理，并报告本铁路局客运处。","A","对","错","","",""
"604","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 　列车发现旅客在区间坠车时应当立即停车按照本办法第四条处理，并通知就近车站或将受伤旅客移交就近车站。需要防护时，按有关规定处理。","A","对","错","","",""
"605","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 　车站对本站发生的及列车移交的伤害旅客，应当及时联系当地医疗急救机构或送就近医院抢救。","A","对","错","","",""
"606","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 旅客救治发生医疗费用时，应当根据对责任的初步判断，属于旅客自身责任或第三人责任的，由旅客或第三人支付医疗费用。","A","对","错","","",""
"607","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 旅客伤害暂不能区分责任或者责任人不明、无力承担的，经处理站站长或者车务段段长批准，可用（）垫付。","A","站进款","车站","列车","车站站长",""
"608","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 旅客伤害动用站进款时，填写或补填“运输进款动支凭证”（财收－29），10日内由核算站或车务段财务拨款归还。","A","对","错","","",""
"609","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 　受伤旅客经现场抢救无效死亡，或对站内、区间发现的旅客尸体，经医疗部门或公安机关确认死亡，公安机关现场勘查结束后，车站应当转送殡仪馆存放（在此之前，车站应将尸体转移至适当地点并派人看守），并尽快通知其家属。尸体存放原则上不超过10日。","A","对","错","","",""
"610","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 死者身份不清且在地（市）级以上报纸刊登寻人启事后10日仍无人认领的，应当根据铁路（）处理尸体；系不法侵害所致的，应当根据铁路公安机关书面意见并商死者家属意见处理尸体。","A","公安机关书面意见","车站","列车","客运部",""
"611","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 对死者的（）等应当妥善保管，并于善后处理时一并转交其继承人；死者身份不明或者家属拒绝到站处理的，按无法交付的物品处理。","ABC","车票","衣物","随身携带物品","同行人",""
"612","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定  外国人在铁路站车死亡的按照《关于转发〈民政部、外交部、公安部关于外国人在华死亡后处理程序有关问题的实施意见〉的通知》（公法〔2008〕25号）处理。","A","对","错","","",""
"613","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定  发生旅客人身伤害、需要保护现场时，应当（）。","ABCD","及时采取措施保护现场","禁止与救援无关的人员进入","禁止与调查无关的人员进入","必要时，可请求地方政府协助。",""
"614","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 发生旅客人身伤害后，列车长、站长应当及时组织（）等。","ABCD","现场查验","全面搜集、梳理相关证据资料","检查旅客所持车票的票种、票号、发到站、车次、有效期","有效身份证件信息",""
"615","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定 发生旅客人身伤害现场查验时，应（）等其他相关证据，形成比较完整的证据链，能够证明发生的过程和原因，初步明确性质，并妥善保管。","ABCD","描绘现场旅客定位图","收集不少于两份同行人证言及查验记录","收集不少于两份见证人的证言及查验记录","现场照片、录像",""
"616","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定旅客或第三人能够说明事件发生经过或责任的，应当由其出具书面材料，并签字确认。","A","对","错","","",""
"617","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定涉及违法犯罪或者旅客死亡的，由铁路公安机关组织现场勘查。","A","对","错","","",""
"618","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定证人应当具有完全民事行为能力。","A","对","错","","",""
"619","铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定证人证言中应当记录证人的姓名、性别、（）等内容。","ABCD","年龄","地址","联系方式","有效身份证件信息",""
"620","铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定有医务工作人员参加救治时，应当由其出具参与救治经过的证言。","A","对","错","","",""
"621","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定证言、证据应当（），能够反映发生的时间、地点、过程、原因和结果。","A","真实","具体","有效","及时",""
"622","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定  列车向车站移交伤害旅客时，车站可以拒绝接收。","B","对","错","","",""
"623","《铁路旅客人身伤害及携带品损失处理暂行办法》（铁运[2012]319号）规定办理移交手续时，列车应当编制客运记录和旅客携带物品清单一式两份，一份由列车存查，一份连同（）等一并移交。","ABCD","车票","证明材料","相关证人","联系方式",""
